N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso
 8787712407131 ;ES ;SERRA ;OURIMAR ;RUA DOMINEU RODY SANTANA, N. 406, Apto 303, BL 14 ;180.000,00;137.000,00;0.00;Apartamento, 61.92 de área total, 41.85 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712407131
 8444416328327 ;ES ;SERRA ;JARDIM CARAPINA ;RUA PANCAS, N. 11, Apto 304, ALA A, QD 36, BL 3604 ;158.486,24;93.000,00;0.00;Apartamento, 0.00 de área total, 37.22 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444416328327
 1555515350421 ;ES ;SERRA ;NOVO HORIZONTE ;RUA I, N. SN, LT 16, QD 45 ;1.100.000,00;218.168,00;0.00;Terreno, 0.00 de área total, 0.00 de área privativa, 300.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555515350421
 8444428176403 ;ES ;VIANA ;CAMPO VERDE ;RUA RONDON PACHECO, N. SN, CS 02  LT 02  QD I ;88.107,45;173.000,00;49.08;Casa, 0.00 de área total, 65.05 de área privativa, 250.25 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444428176403
 8787707664962 ;ES ;VIANA ;VILA BETHANIA ;RUA JOAO DEOLINDO, N. 181, Apto 404,  BL13 ;82.550,28;141.000,00;41.46;Apartamento, 0.00 de área total, 42.00 de área privativa, 14814.01 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707664962
 8555537379722 ;ES ;VIANA ;VILA BETHANIA ;RUA JOAO DEOLINDO, N. SN, Apto 401, BL 09 ;94.815,14;160.000,00;40.75;Apartamento, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555537379722
 8787712519746 ;ES ;VIANA ;VILA BETHANIA ;RODOVIA DO SOL, N. 181, Apto 303, BL 10 ;101.298,12;170.940,00;40.75;Apartamento, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787712519746
 8787713160792 ;ES ;VIANA ;VILA BETHANIA ;RUA JOAO DEOLINDO, N. 181, Apto 303, BL 16 ;183.000,00;183.000,00;0.00;Apartamento, 59.44 de área total, 42.00 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713160792
 8787711609237 ;ES ;VIANA ;VILA BETHANIA ;RUA SANTA HELENA, N. 181, Apto 402, BL.2 ;160.857,71;160.000,00;0.00;Apartamento, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787711609237
 10208367 ;ES ;VILA VELHA ;RIO MARINHO ;RUA MARILANDIA, N. 00, QD 32, LT 36 ;1.138.375,71;1.859.166,00;38.77;Loja, 0.00 de área total, 850.00 de área privativa, 384.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=10208367
 8787713079669 ;ES ;VILA VELHA ;CENTRO DE VILA VELHA ;RUA JOAO DEOLINDO, N. 181, Apto 401, BL 19, VILA BETHANIA ;170.940,00;170.940,00;0.00;Apartamento, 0.00 de área total, 42.00 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787713079669
 1444400700355 ;ES ;VILA VELHA ;COQUEIRAL DE ITAPARICA ;AVENIDA SANTA LEOPOLDINA, N. 2200, Apto 202, BLOCO 145, MÓDULO C, 6ª ETAPA ;280.000,00;280.000,00;0.00;Apartamento, 51.91 de área total, 51.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444400700355
 8444412562473 ;ES ;VILA VELHA ;COQUEIRAL DE ITAPARICA ;AVENIDA SANTA LEOPOLDINA, N. 2200, Apto 402, BLOCO 153, MODULO H ;250.000,00;250.000,00;0.00;Apartamento, 46.95 de área total, 46.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444412562473
 8555524768725 ;ES ;VILA VELHA ;ATAIDE ;R COMENDADOR IRINEU VASCONCELOS, N. 320, Apto 105, TR 01 ;210.000,00;210.000,00;0.00;Apartamento, 0.00 de área total, 48.08 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555524768725
 8444420050702 ;ES ;VILA VELHA ;ARIBIRI ;RUA ONZE, N. SN, Apto 204, BL 02 ;200.000,00;200.000,00;0.00;Apartamento, 0.00 de área total, 46.20 de área privativa, 0.00 de área do terreno,  2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444420050702
 1555524881663 ;ES ;VILA VELHA ;ULISSES GUIMARAES ;AVENIDA SERINGAL (ANTIGA RUA TRINCA FERRO), N. 515, Apto 402, TORRE E, LOTE 40A ;140.000,00;140.000,00;0.00;Apartamento, 0.00 de área total, 43.81 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555524881663
